Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='protein_3', k=5, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=606, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Train 65, loss: 2.625022, train acc: 0.252003, train avg acc: 0.177567
Test 65, loss: 3.693699, test acc: 0.080500, test avg acc: 0.052013
Train 66, loss: 2.613556, train acc: 0.266426, train avg acc: 0.189755
Test 66, loss: 3.671389, test acc: 0.082500, test avg acc: 0.055541
Train 67, loss: 2.598902, train acc: 0.274940, train avg acc: 0.195687
Test 67, loss: 3.048672, test acc: 0.082000, test avg acc: 0.056718
Train 68, loss: 2.591030, train acc: 0.276843, train avg acc: 0.198528
Test 68, loss: 3.098992, test acc: 0.092000, test avg acc: 0.061035
Train 69, loss: 2.579621, train acc: 0.284856, train avg acc: 0.206694
Test 69, loss: 3.626266, test acc: 0.083000, test avg acc: 0.057326
Train 70, loss: 2.569838, train acc: 0.286158, train avg acc: 0.206312
Test 70, loss: 3.333770, test acc: 0.086000, test avg acc: 0.059870
Train 71, loss: 2.561141, train acc: 0.291466, train avg acc: 0.211402
Test 71, loss: 3.754352, test acc: 0.064500, test avg acc: 0.053511
Train 72, loss: 2.541016, train acc: 0.303786, train avg acc: 0.222925
Test 72, loss: 3.293156, test acc: 0.073000, test avg acc: 0.054936
Train 73, loss: 2.514916, train acc: 0.321615, train avg acc: 0.238178
Test 73, loss: 3.294277, test acc: 0.090500, test avg acc: 0.058204
Train 74, loss: 2.500836, train acc: 0.328626, train avg acc: 0.244065
Test 74, loss: 3.877183, test acc: 0.061000, test avg acc: 0.054673
Train 75, loss: 2.488081, train acc: 0.331831, train avg acc: 0.249123
Test 75, loss: 3.145817, test acc: 0.091500, test avg acc: 0.059062
Train 76, loss: 2.471667, train acc: 0.343650, train avg acc: 0.258602
Test 76, loss: 3.371119, test acc: 0.087000, test avg acc: 0.058831
Train 77, loss: 2.448339, train acc: 0.355068, train avg acc: 0.268699
Test 77, loss: 3.770484, test acc: 0.074500, test avg acc: 0.051833
Train 78, loss: 2.434265, train acc: 0.366987, train avg acc: 0.278700
Test 78, loss: 4.429252, test acc: 0.072500, test avg acc: 0.050814
Train 79, loss: 2.424840, train acc: 0.367288, train avg acc: 0.279209
Test 79, loss: 3.661608, test acc: 0.067500, test avg acc: 0.058615
Train 80, loss: 2.404979, train acc: 0.376603, train avg acc: 0.288672
Test 80, loss: 3.686742, test acc: 0.079500, test avg acc: 0.055454
Train 81, loss: 2.393440, train acc: 0.384014, train avg acc: 0.296048
Test 81, loss: 4.504901, test acc: 0.069000, test avg acc: 0.057241
Train 82, loss: 2.364395, train acc: 0.407352, train avg acc: 0.315324
Test 82, loss: 3.435071, test acc: 0.063500, test avg acc: 0.059181
Train 83, loss: 2.358862, train acc: 0.402444, train avg acc: 0.310752
Test 83, loss: 3.541805, test acc: 0.059000, test avg acc: 0.053781
Train 84, loss: 2.335297, train acc: 0.417167, train avg acc: 0.326032
Test 84, loss: 3.493844, test acc: 0.087500, test avg acc: 0.059121
Train 85, loss: 2.305933, train acc: 0.436298, train avg acc: 0.343956
Test 85, loss: 3.418057, test acc: 0.083000, test avg acc: 0.062816
Train 86, loss: 2.289841, train acc: 0.438902, train avg acc: 0.347818
Test 86, loss: 4.155110, test acc: 0.070000, test avg acc: 0.049796
Train 87, loss: 2.266986, train acc: 0.455929, train avg acc: 0.361208
Test 87, loss: 4.027667, test acc: 0.074000, test avg acc: 0.058852
Train 88, loss: 2.251815, train acc: 0.463542, train avg acc: 0.371412
Test 88, loss: 3.885371, test acc: 0.087000, test avg acc: 0.056582
Train 89, loss: 2.234716, train acc: 0.479067, train avg acc: 0.382645
Test 89, loss: 3.839958, test acc: 0.077500, test avg acc: 0.059370
Train 90, loss: 2.208665, train acc: 0.490184, train avg acc: 0.394304
Test 90, loss: 4.062913, test acc: 0.073500, test avg acc: 0.056662
Train 91, loss: 2.195936, train acc: 0.492788, train avg acc: 0.398296
Test 91, loss: 4.353212, test acc: 0.077000, test avg acc: 0.056921
Train 92, loss: 2.180920, train acc: 0.500000, train avg acc: 0.405115
Test 92, loss: 3.444445, test acc: 0.078000, test avg acc: 0.061295
Train 93, loss: 2.157832, train acc: 0.522937, train avg acc: 0.427038
Test 93, loss: 4.185403, test acc: 0.073500, test avg acc: 0.059736
Train 94, loss: 2.150852, train acc: 0.527444, train avg acc: 0.432794
Test 94, loss: 3.680132, test acc: 0.076000, test avg acc: 0.062766
Train 95, loss: 2.123081, train acc: 0.536058, train avg acc: 0.440744
Test 95, loss: 3.942093, test acc: 0.055500, test avg acc: 0.057959
Train 96, loss: 2.098658, train acc: 0.550781, train avg acc: 0.454702
Test 96, loss: 3.645742, test acc: 0.072500, test avg acc: 0.059110
Train 97, loss: 2.099387, train acc: 0.548578, train avg acc: 0.454937
Test 97, loss: 3.966852, test acc: 0.059500, test avg acc: 0.058884
Train 98, loss: 2.059313, train acc: 0.575521, train avg acc: 0.482454
Test 98, loss: 3.717066, test acc: 0.090000, test avg acc: 0.059882
Train 99, loss: 2.035005, train acc: 0.583834, train avg acc: 0.489636
Test 99, loss: 3.697763, test acc: 0.070500, test avg acc: 0.062362
Train 100, loss: 2.027897, train acc: 0.588442, train avg acc: 0.494738
Test 100, loss: 3.883088, test acc: 0.089500, test avg acc: 0.062622
Train 101, loss: 2.019917, train acc: 0.587039, train avg acc: 0.495378
Test 101, loss: 3.883258, test acc: 0.072000, test avg acc: 0.055447
Train 102, loss: 1.984233, train acc: 0.607973, train avg acc: 0.516576
Test 102, loss: 3.691104, test acc: 0.078500, test avg acc: 0.064329
Train 103, loss: 1.971774, train acc: 0.613682, train avg acc: 0.524897
